S.No,Long,Lat,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,B
221,74.88138889,17.96805556,7.6,0.47,0.45,315,15.46,784,7.6,0.35,1.8,0.7,1.7,0.78
222,74.90194444,17.96805556,7.6,0.48,0.42,294,11.68,392,7.2,0.35,2.1,0.35,3.15,0.6
223,74.89416667,17.96833333,7.58,0.68,0.54,378,10.7,772,7.2,0.46,1.95,0.36,1.9,0.68
224,74.91611111,17.96833333,7.72,0.63,0.54,378,11.2,425,8.3,0.4,2.6,0.45,4.2,0.75
225,74.88111111,17.96861111,7.57,0.61,0.93,651,12.35,504,7.3,0.65,1.7,0.75,2.2,0.83
226,74.90527778,17.96861111,7.78,0.78,0.6,420,12.72,616,6.5,0.5,1.7,0.75,1.75,0.8
227,74.91361111,17.96861111,7.62,0.52,0.39,273,16.2,817,6.2,0.42,3.2,0.54,1.4,0.68
228,74.86777778,17.96888889,7.88,0.77,0.45,315,13.7,672,7.8,0.7,1.85,0.8,1.95,0.96
229,74.87972222,17.96888889,7.53,0.56,0.87,607,10.35,1568,8.5,0.54,1.7,0.6,1.65,0.67
230,74.88305556,17.96888889,7.94,0.85,0.36,252,12.41,694,9.5,0.48,1.9,0.75,2.3,0.77
231,74.90944444,17.96888889,7.51,0.56,0.96,672,11.56,582,7.3,0.6,2.2,0.55,1.8,0.72
232,74.87805556,17.96916667,7.49,0.5,0.75,525,15.35,705,9.5,0.55,1.6,0.35,1.65,0.92
233,74.88194444,17.96916667,7.28,0.85,0.18,126,15.46,985,8,0.35,1.6,0.8,1.9,0.54
234,74.91888889,17.96916667,7.67,0.48,0.66,462,17.1,515,6.8,0.46,3.17,0.5,1.75,0.57
235,74.86472222,17.96944444,7.55,0.92,0.15,105,17.35,884,8.3,0.78,2.7,0.7,1.6,0.78
236,74.87388889,17.96944444,7.61,0.47,0.3,210,14.18,851,8.3,0.8,1.95,0.6,1.9,0.85
237,74.88055556,17.96944444,7.34,0.55,0.45,315,16.42,627,7.4,0.48,1.5,0.85,1.95,0.65
